instance_id,recipe,session,video_id,narration_id,node,node_label,verb_category,start_s,end_s,duration_s,aligned_position,step_segment,prev,next,gap_after_s,node_recurs_in_sessions,is_recurring,narration
P01_R01|Session1|0,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-1,open storage,open cupboard,access,7.4,8.7,1.3,0.0726,1,,one-off,0.1,2,1,Open the upper cupboard by holding the handle of the cupboard with the left hand.
P01_R01|Session1|1,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-2,,,manipulate,8.8,9.3,0.5,0.0863,1,open cupboard,pick up mug,0.0,1,0,Stretch the left hand inside the cupboard in the lower shelf to reach a mug at the far side of the cupboard.
P01_R01|Session1|2,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-3,take crockery,pick up mug,retrieve,9.3,11.1,1.8,0.0911,1,one-off,turn mug,0.1,3,1,Pick up a mug from the lower shelf of the cupboard that is upside down using the left hand.
P01_R01|Session1|3,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-4,turn crockery,turn mug,manipulate,11.2,11.6,0.4,0.1087,1,pick up mug,one-off,-0.1,2,1,Turn the mug in the left hand to face the camera so as to check how clean it is.
P01_R01|Session1|4,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-5,,,block,11.5,12.2,0.7,0.1122,1,turn mug,one-off,1.5,1,0,Close the cupboard using the right hand.
P01_R01|Session1|5,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-6,,,manipulate,13.7,14.1,0.4,0.1339,1,one-off,put down mug,0.1,1,0,"Using the left hand, flip the bottom part of the coffee machine so as to put the mug using the right hand in the right place under the nozzle of the coffee machine."
P01_R01|Session1|6,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-7,put crockery,put down mug,leave,14.2,14.6,0.4,0.1385,1,one-off,pick up coffee pod,0.2,3,1,Put the mug that is in the right hand under the nozzle of the coffee machine.
P01_R01|Session1|7,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-8,take drinks,pick up coffee pod,retrieve,14.8,15.1,0.3,0.1444,1,put down mug,press button,0.3,3,1,"Using the left hand, pick up the coffee capsule from the countertop to the left of the coffee machine."
P01_R01|Session1|8,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-9,press appliances,press button,manipulate,15.4,15.7,0.3,0.1498,1,pick up coffee pod,lift handle,0.4,2,1,Press down the button to turn on the coffee machine using the right hand.
P01_R01|Session1|9,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-10,lift cookware,lift handle,retrieve,16.1,16.7,0.6,0.1566,1,press button,one-off,-0.6,2,1,Lift the handle of the coffee machine using the right hand so that to expose the gap where the coffee capsule should fit.
P01_R01|Session1|10,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-11,,,manipulate,16.1,17.3,1.2,0.1568,1,lift handle,one-off,0.1,1,0,Slide the coffee capsule that is in the left hand inside the gap of the coffee machine.
P01_R01|Session1|11,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-12,,,manipulate,17.4,18.0,0.6,0.1687,2,one-off,open fridge,1.8,1,0,"Using the right hand, pull down the handle of the coffee machine so as to lock the coffee capsule inside."
P01_R01|Session1|12,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-13,open appliances,open fridge,access,19.8,21.2,1.4,0.1843,2,one-off,pick up milk bottle,0.2,3,1,Open the fridge.
P01_R01|Session1|13,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-14,take containers,pick up milk bottle,retrieve,21.4,22.0,0.6,0.1952,2,open fridge,close fridge,0.1,3,1,"Using the left hand, pick up the milk bottle using the handle, which is located in the lower shelf of the door of the fridge."
P01_R01|Session1|14,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-15,close appliances,close fridge,block,22.1,23.5,1.4,0.1999,2,pick up milk bottle,one-off,1.1,3,1,Close the fridge.
P01_R01|Session1|15,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-16,,,manipulate,24.6,25.5,0.9,0.2161,2,close fridge,open milk bottle,0.3,1,0,Slide the milk frother and its base on the counter to get it closer to where the person is standing.
P01_R01|Session1|16,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-17,open containers,open milk bottle,access,25.8,26.9,1.1,0.2241,2,one-off,lift lid,0.1,3,1,"Open the milk bottle by holding it with the right hand, holding the lid with the left hand, and rotating the lid counterclockwise."
P01_R01|Session1|17,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-18,lift containers,lift lid,retrieve,27.0,27.5,0.5,0.2324,2,open milk bottle,lift lid,0.1,2,1,"While holding the milk bottle lid with the left hand, using the right hand tilt the milk bottle to pour milk from the bottle into the milk frother."
P01_R01|Session1|18,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-19,lift containers,lift lid,retrieve,27.6,33.8,6.2,0.2364,2,lift lid,turn on milk frother,-3.1,2,1,Tilt the milk bottle up after the milk has been poured. Place the lid from the left hand on top of the milk bottle. Rotate clockwise to close the milk bottle.
P01_R01|Session1|19,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-20,turn-on dairy and eggs,turn on milk frother,access,30.7,32.4,1.7,0.2569,2,lift lid,pick up milk bottle,1.7,2,1,"While the left hand is closing the milk bottle, the right hand presses the power button on the milk frother to start it on."
P01_R01|Session1|20,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-21,take containers,pick up milk bottle,retrieve,34.1,34.8,0.7,0.2797,2,turn on milk frother,open fridge,1.3,3,1,Pick up the milk bottle from its handle using the left hand.
P01_R01|Session1|21,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-22,open appliances,open fridge,access,36.1,37.1,1.0,0.2925,2,pick up milk bottle,put down milk bottle,0.1,3,1,Open the fridge.
P01_R01|Session1|22,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-23,put containers,put down milk bottle,leave,37.2,38.1,0.9,0.2998,2,open fridge,close fridge,-0.1,3,1,Put down the milk bottle inside the fridge in the lower shelf of the door using the left hand.
P01_R01|Session1|23,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-24,close appliances,close fridge,block,38.0,38.6,0.6,0.3054,2,put down milk bottle,press button,2.6,3,1,Close the fridge.
P01_R01|Session1|24,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-25,press appliances,press button,manipulate,41.2,42.4,1.2,0.3264,2,close fridge,turn mug,93.9,2,1,Using the left hand press the button of the long coffee on the coffee machine.
P01_R01|Session1|25,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-76,turn crockery,turn mug,manipulate,136.3,137.3,1.0,0.6561,4,press button,pick up milk frother,-0.6,2,1,hold the mug of coffee with the left hand and rotate it so that the handle is facing to the left side. Then hold the milk frother with the right hand.
P01_R01|Session1|26,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-77,take dairy and eggs,pick up milk frother,retrieve,136.7,137.5,0.8,0.6567,4,turn mug,tap milk frother,-0.3,3,1,Pick up the milk frother with the right hand from its base.
P01_R01|Session1|27,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-78,pat dairy and eggs,tap milk frother,sense,137.2,138.0,0.8,0.6576,4,pick up milk frother,tilt milk frother,-0.3,2,1,Hit the milk frother on the countertop using the right hand to set the milk frothing inside.
P01_R01|Session1|28,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-79,lift dairy and eggs,tilt milk frother,retrieve,137.7,139.9,2.2,0.6583,4,tap milk frother,tilt milk frother,0.0,2,1,Tilt the milk frother to pour the frothed milk from inside it into the mug which is being held using the left hand.
P01_R01|Session1|29,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-80,lift dairy and eggs,tilt milk frother,retrieve,139.9,142.8,2.9,0.662,4,tilt milk frother,tilt milk frother,-1.7,2,1,Lift and drop the milk-frother slightly using the right hand up and down twice to get rid of all the froth inside it.
P01_R01|Session1|30,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-81,lift dairy and eggs,tilt milk frother,retrieve,141.1,143.1,2.0,0.664,4,tilt milk frother,lift lid,0.3,2,1,Tilt the milk frothing back upwards and place it on the countertop.
