item_id,outcome,hidden_label,model_goal,n_actions,recipe,actions
I014,NOT_COHERENT,fill v60 filter,clean up kitchen and wash dishes,116,P03_R03,pull(lid) | put(package) | press(package) | close(bin) | turn-off(maker:coffee) | pull(drawer) | pull(maker:coffee) | pull(drawer) | lift(box) | shake(maker:coffee) | pat(box) | remove(lid) | shake(box) | attach(lid) | put(box) | take(cloth) | turn-on(tap) | wash(cloth) | turn-off(tap) | squeeze(cloth) | shake(cloth) | take(hand) | wash(top) | move(bowl) | gather(coffee) | put(cloth) | dry(hand) | hang(cloth) | take(spoon) | open(cupboard) | put(spoon) | close(cupboard) | take(box) | take(maker:coffee) | insert(box) | take(spoon) | pull(cupboard) | drop(spoon) | pull(cupboard) | take(spoon) | squeeze(food) | open(rack:drying) | take(container) | remove(lid) | move(plate) | take(plate) | take(lid) | insert(lid) | take(chopstick) | press(rack:drying) | press(cupboard) | pull(rack:drying) | drop(chopstick) | take(box) | take(colander) | put(box) | take(jug) | take(pan) | put(colander) | take(bowl) | take(colander) | put(colander) | move(container) | take(pan) | move(container) | lift(box) | put(bowl) | put(box) | take(box) | take(cup) | put(box) | put(cup) | press(rack:drying) | pull(cupboard) | pull(cupboard) | take(colander) | pull(rack:drying) | pull(top) | put(colander) | press(rack:drying) | press(rack:drying) | close(dishwasher) | turn-on(tap) | wash(hand) | turn-off(tap) | shake(hand) | dry(hand) | open(cupboard) | close(cupboard) | open(cupboard) | slide(cup) | close(cupboard) | turn-off(kettle) | open(dishwasher) | take(jug) | pull(rack:drying) | put(jug) | take(cup) | put(cup) | take(cup) | press(rack:drying) | put(cup) | close(dishwasher) | take(jug) | turn-on(tap) | wash(jug) | lift(jug) | turn-off(tap) | hold(jug) | take(cloth) | dry(jug) | put(jug) | drop(cloth) | take(maker:coffee) | put(maker:coffee) | press(jug)
I032,NOT_COHERENT,top with fruit nuts,prep a banana,22,P05_R02,put(plate) | take(glass) | drink(water) | put(glass) | take(banana) | break(banana) | put(banana) | move(leaf) | move(spoon) | open(cupboard) | take(knife) | close(drawer) | move(knife) | take(banana) | cut(rest) | peel(skin) | cut(rest) | peel(skin) | put(banana) | take(skin) | move(skin) | put(knife)
I033,NOT_COHERENT,pour foam in coffee,prepare a mixed drink or meal,33,P01_R01,slide(cupboard) | press(cupboard) | put(juicer) | turn(juicer) | lift(cream) | turn(knob) | switch(button) | turn(food) | turn(knob) | take(orange) | put(orange) | open(drawer) | take(vegetable) | take(roll) | feel(roll) | pull(bag) | put(vegetable) | close(drawer) | pull(bag) | shake(bag) | open(lid) | put(bag) | close(lid) | press(top) | hold(kettle) | press(button) | close(kettle) | turn(cup) | take(milk) | pat(milk) | lift(milk) | lift(milk) | lift(milk)
I034,OTHER_MEMBER,bloom grounds,wash cup,14,P03_R03,take(kettle) | lift(kettle) | put(kettle) | take(cup) | take(sponge) | turn-on(tap) | pour(water) | move(sponge) | turn-on(tap) | wash(cup) | turn-off(tap) | put(cup) | take(cup) | turn-on(tap)
I037,NOT_COHERENT,top with fruit nuts,prepare mixed ingredients,12,P05_R02,turn-on(scale) | take(bag) | pour(raisin) | put(bag) | take(bag) | move(bag) | set(scale) | put(nut) | put(bag) | set(scale) | take(knife) | add(banana)
I039,NOT_COHERENT,microwave oats,prepare oatmeal with milk and water,81,P05_R02,take(bowl) | put(bowl) | open(drawer) | take(scale) | close(drawer) | turn-on(scale) | take(bowl) | put(scale) | put(bowl) | turn-off(scale) | turn-on(scale) | take(oatmeal) | move(oatmeal) | take(package) | put(raisin) | pour(oatmeal) | put(oatmeal) | open(cupboard) | take(milk) | close(cupboard) | unscrew(top) | pour(milk) | screw(lid) | open(cupboard) | put(milk) | close(cupboard) | take(glass) | move(glass) | turn-on(tap) | turn-off(tap) | pour(water) | put(glass) | take(bowl) | move(oatmeal) | move(glass) | open(cupboard) | move(oatmeal) | open(cupboard) | put(oatmeal) | close(cupboard) | press(button) | open(cupboard) | open(drawer) | take(cutlery) | put(cutlery) | close(drawer) | put(ladle) | take(bowl) | close(drawer) | open(drawer) | put(bowl) | take(bowl) | move(bowl) | open(bin) | throw(rubbish) | take(rubbish) | open(bin) | throw(rubbish) | open(drawer) | put(bowl) | take(cutlery) | open(drawer) | put(cutlery) | take(glass) | close(drawer) | open(drawer) | put(glass) | take(plate) | close(drawer) | move(plate) | turn-off(scale) | take(package) | move(package) | take(lid) | put(lid) | wrap(clothes) | take(bowl) | close(drawer) | put(bowl) | take(package) | put(bowl)
I042,MATCH_HEAD,fill v60 filter,make coffee,7,P03_R03,take(maker:coffee) | put(jug) | put(maker:coffee) | close(cupboard) | take(maker:coffee) | turn-on(tap) | wash(filter)
I043,MATCH_HEAD,stir,Stir coffee,6,P01_R01,lift(lid) | move(spoon) | mix(coffee) | mix(coffee) | take(rest) | shake(spoon)
I047,NOT_COHERENT,bloom grounds,make coffee and clean up kitchen,16,P03_R03,pour(water) | put(kettle) | take(cloth) | wash(top) | throw(rubbish) | rub(hand) | take(maker:coffee) | take(kettle) | pour(water) | put(kettle) | wash(top) | take(hand) | wash(top) | put(maker:coffee) | turn-on(tap) | wash(cloth)
I048,UNSURE,stir,make coffee with milk,9,P01_R01,close(tap) | turn(milk) | put(milk) | dry(hand) | hold(cup) | hold(spoon) | take(cup) | mix(coffee) | shake(spoon)
