item_id,recipe,hidden_label,model_goal,model_command,model_coherent,proposed,confidence,n_actions,session,synthetic,actions,level
I001,P01_R01,manipulate(dairy and eggs),pour milk,pour milk from the bottle,yes,MATCH_HEAD,low,6,0,False,open(fridge) | take(bottle) | slide(milk) | open(bottle) | lift(bottle) | put(bottle),episode
I002,P01_R01,mix(drinks),make coffee and move kitchenware,brew coffee and clear the counter,no,NOT_COHERENT,medium,4,1,False,take(top) | take(cup) | mix(coffee) | lift(colander),episode
I003,P01_R01,turn(crockery),make coffee,make_coffee(),yes,UNSURE,low,6,0,False,stretch(hand) | take(cup) | turn(cup) | close(cupboard) | flip(maker:coffee) | put(cup),episode
I004,P03_R03,wash(furniture),clean kitchen and make coffee,clean surfaces and prepare coffee maker,no,NOT_COHERENT,medium,17,3,False,wash(top) | wash(hob) | wash(top) | wash(top) | hang(cloth) | close(oven) | take(cloth) | dry(hand) | unroll(cloth) | hang(cloth) | close(cupboard) | put(clip) | open(cupboard) | take(bag) | remove(clip) | take(maker:coffee) | put(lid),episode
I005,P05_R02,take(crockery),set up kitchen for meal prep,prepare_kitchen_workspace(),no,NOT_COHERENT,medium,15,2,True,take(bowl) | close(drawer) | put(bowl) | put(bowl) | put(lid) | take(package) | take(lid) | take(board:chopping) | move(board:chopping) | move(hand) | take(board:chopping) | put(board:chopping) | close(drawer) | put(cup) | put(cup),episode
I006,P01_R01,press(appliances),prepare a snack,NOT_COHERENT,no,NOT_COHERENT,medium,22,0,False,lift(bottle) | turn-on(milk) | take(bottle) | open(fridge) | close(fridge) | press(button) | open(drawer) | take(scissors) | remove(package) | open(scissors) | take(orange) | take(orange) | take(orange) | wrap(scissors) | put(scissors) | open(drawer) | slide(board:chopping) | take(food) | hold(food) | put(plug) | remove(plug) | press(plug),episode
I007,P01_R01,pour(dairy and eggs),pour milk into the bin,pour milk into the bin,no,MATCH_HEAD,high,5,1,False,open(bin) | lift(lid) | open(bottle) | pour(milk) | close(bottle),episode
I008,P05_R02,take(baked goods and grains),measure oatmeal and raisins,measure oatmeal and raisins using the scale and bowl,no,NOT_COHERENT,medium,5,2,True,turn-on(scale) | take(bowl) | turn-on(scale) | take(oatmeal) | put(raisin),episode
I009,P03_R03,lift(appliances),prepare hot water,boil water in kettle,yes,UNSURE,low,4,1,True,take(bowl) | take(kettle) | lift(kettle) | put(kettle),episode
I010,P05_R02,take(cutlery),organize cutlery in a drawer,sort cutlery into the drawer,yes,UNSURE,low,14,1,True,take(cutlery) | put(knife) | open(drawer) | take(cutlery) | put(spoon) | put(fork) | put(spoon) | put(fork) | take(cutlery) | take(cutlery) | put(fork) | put(spoon) | put(spoon) | put(spoon),episode
I011,P01_R01,manipulate(drinks),make coffee,make_coffee(),no,NOT_COHERENT,medium,12,1,False,lift(lid) | hold(water) | take(jug) | pour(water) | put(jug) | close(lid) | put(water) | put(box) | take(box) | open(box) | put(coffee) | close(machine:washing),episode
I012,P03_R03,pull(storage),store leftovers and utensils,none,no,NOT_COHERENT,medium,11,1,False,pull(wrap:plastic) | put(fork) | put(knife) | take(plate) | wrap(wrap:plastic) | pull(cupboard) | put(plate) | press(wrap:plastic) | pull(cupboard) | pull(cupboard) | put(potato),episode
I013,P05_R02,,prepare and weigh a banana,slice the banana on the plate and weigh it,no,NOT_COHERENT,medium,6,1,False,take(plate) | take(spoon) | scrape(banana) | put(plate) | turn-off(scale) | move(knife),full
I014,P05_R02,top with fruit nuts,weigh and prepare ingredients for a recipe,weigh and assemble recipe ingredients,yes,UNSURE,low,31,1,False,turn-on(scale) | take(plate) | take(spoon) | scrape(banana) | put(plate) | turn-off(scale) | move(knife) | take(package) | turn-on(scale) | pour(raisin) | put(raisin) | take(nut) | set(scale) | pour(nut) | put(nut) | turn-off(scale) | take(bowl) | put(bowl) | take(scale) | open(drawer) | put(scale) | close(drawer) | close(cupboard) | finish(alarm) | take(knife) | put(knife) | take(spoon) | take(bowl) | put(bowl) | put(spoon) | take(plate),step
I015,P05_R02,stir reheat,prepare and eat oatmeal,prepare and eat oatmeal,no,OTHER_MEMBER,medium,25,2,False,add(alarm) | take(spoon) | move(spoon) | open(cupboard) | take(oatmeal) | put(oatmeal) | mix(oatmeal) | shake(oatmeal) | take(bowl) | put(bowl) | shake(oatmeal) | eat(spoon) | put(spoon) | close(cupboard) | take(spoon) | mix(oatmeal) | shake(oatmeal) | eat(oatmeal) | put(spoon) | take(bowl) | put(oatmeal) | close(cupboard) | remove(alarm) | turn-on(microwave) | add(alarm),step
I016,P05_R02,put(crockery),organize tableware,organize the cups and bowls in the kitchen,no,NOT_COHERENT,medium,10,2,True,take(cup) | open(drawer) | take(cup) | take(cup) | put(cup) | take(bowl) | move(bowl) | take(cup) | move(cup) | adjust(cup),episode
I017,P03_R03,bloom grounds,boil water and wash a cup,wash cup and boil water,no,OTHER_MEMBER,medium,14,0,False,take(kettle) | lift(kettle) | put(kettle) | take(cup) | take(sponge) | turn-on(tap) | pour(water) | move(sponge) | turn-on(tap) | wash(cup) | turn-off(tap) | put(cup) | take(cup) | turn-on(tap),step
I018,P05_R02,,Store oatmeal and open cupboard,store oatmeal in cupboard,no,OTHER_MEMBER,medium,6,2,False,move(oatmeal) | open(cupboard) | put(oatmeal) | close(cupboard) | press(button) | open(cupboard),full
I019,P05_R02,,make oatmeal,make oatmeal using a bowl and spoon,yes,UNSURE,low,6,2,False,put(spoon) | close(cupboard) | take(spoon) | mix(oatmeal) | take(bowl) | put(bowl),full
I020,P01_R01,pour(dairy and eggs),pour milk into a cup,pour milk into the cup,yes,MATCH_HEAD,high,6,2,False,move(cup) | take(milk) | pat(milk) | pour(milk) | put(spoon) | put(milk),episode
I021,P03_R03,boil kettle,boil water and clean the kitchen,NOT_COHERENT,no,NOT_COHERENT,medium,22,3,False,open(kettle) | check(water) | turn-on(tap) | fill(kettle) | turn-off(tap) | press(lid) | put(kettle) | turn-on(kettle) | wash(top) | gather(rubbish) | wash(top) | throw(rubbish) | wash(top) | wash(hob) | turn-on(light) | wash(hob) | finish(rubbish) | turn-on(tap) | wash(cloth) | turn-off(tap) | squeeze(cloth) | shake(cloth),step
I022,P05_R02,take(baked goods and grains),retrieve oatmeal from cupboard,fetch oatmeal from the cupboard,no,NOT_COHERENT,medium,5,1,True,open(cupboard) | take(oatmeal) | put(oatmeal) | close(cupboard) | close(cupboard),episode
I023,P03_R03,,make toast or a sandwich,make_sandwich(),yes,UNSURE,low,6,1,False,put(kettle) | take(bread) | put(bread) | open(cupboard) | take(knife) | close(cupboard),full
I024,P01_R01,pour foam in coffee,Make a mixed drink or smoothie,make_smoothie(),no,NOT_COHERENT,medium,33,0,False,slide(cupboard) | press(cupboard) | put(juicer) | turn(juicer) | lift(cream) | turn(knob) | switch(button) | turn(food) | turn(knob) | take(orange) | put(orange) | open(drawer) | take(vegetable) | take(roll) | feel(roll) | pull(bag) | put(vegetable) | close(drawer) | pull(bag) | shake(bag) | open(lid) | put(bag) | close(lid) | press(top) | hold(kettle) | press(button) | close(kettle) | turn(cup) | take(milk) | pat(milk) | lift(milk) | lift(milk) | lift(milk),step
I025,P01_R01,mix(drinks),make coffee,make_coffee(),yes,MATCH_HEAD,low,8,0,False,take(milk) | lift(milk) | lift(milk) | lift(milk) | lift(lid) | move(spoon) | mix(coffee) | mix(coffee),episode
